lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,25,5,0.1,12,24,30,0.140286904,0.355090677,0.261821512,0.05942659
18,25,5,0.1,14,20,26,0.119355091,0.362220122,0.371327286,0.059206334
18,25,5,0.1,14,20,28,0.114459278,0.32909062,0.285101508,0.059389177
18,25,5,0.1,14,20,30,0.160723239,0.331032616,0.259438882,0.060066669
18,25,5,0.1,14,22,26,0.113317846,0.354635589,0.30752181,0.059581457
18,25,5,0.1,14,22,28,0.120913091,0.373165179,0.312606879,0.05928761
18,25,5,0.1,14,22,30,0.111016758,0.339395426,0.468798577,0.059589767
18,25,5,0.1,14,24,26,0.114944874,0.336130323,0.414867366,0.059805567
18,25,5,0.1,14,24,28,0.108423352,0.353061235,0.283733255,0.060230716
18,25,5,0.1,14,24,30,0.124798039,0.355112167,0.239659116,0.059884591
18,25,5,0.1,16,20,26,0.114678857,0.345174435,0.437211066,0.059310732
18,25,5,0.1,16,20,28,0.123013701,0.34445326,0.250942549,0.060363505
18,25,5,0.1,16,20,30,0.107821758,0.33246238,0.26845408,0.060306965
18,25,5,0.1,16,22,26,0.125767541,0.367142478,0.459235729,0.061646792
18,25,5,0.1,16,22,28,0.111543711,0.355874499,0.295080212,0.063180739
18,25,5,0.1,16,22,30,0.108371478,0.349143744,0.222008112,0.063839832
18,25,5,0.1,16,24,26,0.140571579,0.339945969,0.308526945,0.063759583
18,25,5,0.1,16,24,28,0.130508919,0.382625338,0.277431218,0.063155288
18,25,5,0.1,16,24,30,0.127694257,0.337745463,0.237511686,0.062809937
18,25,6,0,12,20,26,0.125696266,0.344588865,0.286579591,0.073578244
18,25,6,0,12,20,28,0.113134835,0.324678037,0.249198357,0.072618941
18,25,6,0,12,20,30,0.115148476,0.327673241,0.290310577,0.072714406
18,25,6,0,12,22,26,0.115101304,0.326253932,0.292573823,0.072720601
18,25,6,0,12,22,28,0.160901856,0.369763812,0.555407697,0.073251403
18,25,6,0,12,22,30,0.110892451,0.345430596,0.340856834,0.072628999
18,25,6,0,12,24,26,0.141863877,0.348989301,0.261181567,0.072767149
18,25,6,0,12,24,28,0.112610059,0.329419724,0.213898393,0.073120758
18,25,6,0,12,24,30,0.140286904,0.355090677,0.221263933,0.071307019
18,25,6,0,14,20,26,0.119355091,0.362220122,0.300935197,0.071314435
18,25,6,0,14,20,28,0.114459278,0.32909062,0.272983966,0.071487277
18,25,6,0,14,20,30,0.160723239,0.331032616,0.383691058,0.07185481
18,25,6,0,14,22,26,0.113317846,0.354635589,0.277919007,0.071470766
18,25,6,0,14,22,28,0.120913091,0.373165179,0.237916928,0.073451278
18,25,6,0,14,22,30,0.111016758,0.339395426,0.339946865,0.071156548
18,25,6,0,14,24,26,0.114944874,0.336130323,0.277953074,0.071932889
18,25,6,0,14,24,28,0.108423352,0.353061235,0.230214537,0.070705908
18,25,6,0,14,24,30,0.124798039,0.355112167,0.295676188,0.071671698
